system,finding_id,domain,tag,verifier_status,confidence,claim,source_id,verbatim_quote,label
,f-AUQ011-002,tokenization,SOURCE,verified,0.95,"ERC-3643 enforces regulations at the smart contract level including KYC/AML, investor accreditation, nation-specific restrictions, holding periods, or transfer limits via an automated validator system.",https://rejolut.com/blog/erc3643-vs-erc1400/,"The standard enforces regulations at the smart contract level, including KYC/AML, investor accreditation, nation-specific restrictions, holding periods, or transfer limits. An automated validator system gates each transaction.",
,f-AUQ007-001,mining-valuation,SOURCE,verified,0.98,"A Scoping Study is defined as a study, other than a Prefeasibility or Feasibility Study, that includes an economic analysis of the potential viability of Mineral Resources.",file:///C:/Users/mtlb/code/sea2/corpora/au-token-regulatory/samval-2016.pdf,"A Scoping Study (also commonly known as a Preliminary Economic Assessment) is defined as a study, other than a Prefeasibility or Feasibility Study, that includes an economic analysis of the potential viability of Mineral Resources.",
,f-AUQ001-017,regulation,SOURCE,flagged,0.95,"Crypto asset providers licensed under FAIS must meet FSP obligations including reporting, disclosure, and fit and proper requirements, and fall under FSCA regulatory oversight and supervision.",https://www.webberwentzel.com/News/Pages/fsca-declares-crypto-assets-a-financial-product.aspx,"Crypto asset providers must now obtain authorization as financial services providers (FSP) under FAIS, meet FSP obligations including reporting, disclosure, and fit and proper requirements, and fall under FSCA regulatory oversight and supervision.",
,f-AUQ004-002,law,SOURCE,flagged,0.95,"Under section 42A of the Draft Bill, owners of historic residue stockpiles may alternatively apply on an exclusive basis for a mining right, small-scale mining permit or artisanal mining permit over the historic residue stockpile if they do not otherwise have an existing right under the MPRDA.",https://beechveltman.com/news/draft-mineral-resources-development-amendment-bill-published-on-20-may-2025/,"(ii) apply (on an exclusive basis) for a mining right, small-scale mining permit or artisanal mining permit over such historic residue stockpile, if they do not otherwise have an existing right under the MPRDA.",
,f-AUQ002-005,legal,SOURCE,flagged,0.97,"The MPRDA was amended such that it also applies to tailings dumps created under old order rights on or after the commencement date of the amendments, 7 June 2013.",file:///C:/Users/mtlb/code/sea2/corpora/au-token-regulatory/cdh-ataqua-revisited-2024.html,"the MPRDA also applying to tailing dumps created under old order rights on or after the commencement date of the amendments, being 7 June 2013.",
,f-AUQ002-009,legal,SOURCE,flagged,0.9,"Legacy tailings and slag dumps have legacy ownership challenges potentially due to multiple changes in ownership and/or the liquidation of known registered owners, and when original operators disappear management falls outside active legislative mandates.",https://www.saimm.co.za/journal-presidents-corner/1241-legacy-tailings-and-slag-dumps-friend-or-foe,"both types of process residues have legacy ownership challenges, potentially due to multiple changes in ownership and/or the liquidation of known registered owners. When original operators disappear, responsibility becomes unclear. The management of the historical tailings and slag dump facilities then falls outside the active legislative mandates and best practice guidelines.",
,f-AUQ001-014,regulation,SOURCE,flagged,0.95,"Under the Financial Markets Act 2012, a central securities depository must be licensed under section 29.",file:///C:/Users/mtlb/code/sea2/corpora/au-token-regulatory/fma.pdf,A central securities depository must be licensed under section 29.,
,f-AUQ006-008,law,SOURCE,flagged,0.9,"Where mines no longer exist or ownership cannot be traced, the NEMA liability regime cannot function effectively, shifting remediation costs to taxpayers.",https://scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812014000500008,"Where mines no longer exist or ownership cannot be traced—the reality for many abandoned operations—the liability regime cannot function effectively. This creates a paradox where comprehensive legal provisions exist but cannot be enforced against nonexistent entities, shifting remediation costs to taxpayers.",
,f-AUQ008-011,regulatory,SOURCE,flagged,0.9,"MiCA Article 6 specifies content, structure, and presentation standards for crypto-asset white papers, and Article 15 establishes liability for misleading or inaccurate information.",https://crypto-risk-metrics.com/en/mica-white-paper-obligations-for-casps/,"Article 6 specifies content, structure, and presentation standards; Article 12 imposes ongoing update obligations when material changes occur; Article 15 establishes liability for misleading or inaccurate information.",
,f-AUQ007-015,mining-finance,SOURCE,verified,0.92,"Discount rates for mining feasibility studies generally fall between 5% to 10%, with higher rates (15%+) applied to riskier projects.",https://www.miningdoc.tech/question/what-discount-rates-are-typically-applied-in-mining-project-economics-and-how-are-they-determined/,"Discount rates for mining feasibility studies generally fall between 5% to 10%, with higher rates (15%+) applied to riskier projects.",
,f-AUQ011-010,tokenization,SOURCE,verified,0.95,"ERC-3643 can embed identity verification, transfer restrictions, and compliance logic directly into a token, making it ideal for regulated assets like real estate, securities, and private funds.",https://www.chainalysis.com/blog/introduction-to-erc-3643-ethereum-rwa-token-standard/,"ERC-3643 can embed identity verification, transfer restrictions, and compliance logic directly into a token, making it ideal for regulated assets like real estate, securities, and private funds.",
,f-AUQ008-004,regulatory,SOURCE,flagged,0.85,Austrian prospectus preparation through FMA approval takes approximately 3 to 4 months.,https://cms.law/en/int/expert-guides/cms-expert-guide-to-security-token-offerings/austria,"Expect approximately 3 to 4 months from prospectus preparation through Financial Market Authority approval, though this depends on token complexity and regulatory responsiveness.",
,f-AUQ011-015,regulation,SOURCE,flagged,0.95,"The SAMVAL Code applies to the valuation of mineral assets for any report intended for public release and issued for a purpose regulated by the Companies Act, other provisions of South African law, or by the listing requirements of the JSE and other recognized stock exchanges.",file:///C:/Users/mtlb/code/sea2/corpora/au-token-regulatory/samval-2016.pdf,"The SAMVAL Code applies to the valuation of mineral assets for any report intended for public release and issued for a purpose regulated by the Companies Act, other provisions of South African law, or by the listing requirements of the JSE and other recognized stock exchanges.",
,f-AUQ001-013,regulation,SOURCE,flagged,0.92,"Miners, node operators, and NFT providers are activities the FSCA has clarified fall outside current crypto asset service provider licensing requirements under FAIS.",https://www.dlapiper.com/en/insights/publications/2026/01/fsca-update-on-licensing-and-supervision-of-crypto-asset-service-providers,The FSCA clarified that certain activities fall outside current requirements: Miners and node operators (infrastructure participants without direct consumer interaction); NFT providers (treated as lower-risk due to uniqueness; future amendments may expand this); and Crypto-derivative providers (already regulated under the Financial Markets Act as securities).,
,f-AUQ007-022,mining-valuation,SOURCE,flagged,0.97,"Under SAMREC 2016, a Scoping Study may not include historical estimates, Exploration Results, Exploration Targets or Mineralisation.",file:///C:/Users/mtlb/code/sea2/corpora/au-token-regulatory/samrec-2016.pdf,"A Scoping Study may not include historical estimates, Exploration Results, Exploration Targets or Mineralisation.",
,f-AUQ005-009,regulatory,SOURCE,verified,0.96,SPLP-style (Method 1312) sulfuric/nitric simulated-rain leachate is not the prescribed national leach method in South Africa.,https://cbss.co.za/revise-the-south-african-waste-classification-system/,SPLP-style (Method 1312) sulfuric/nitric simulated-rain leachate is not the prescribed national method.,
,f-AUQ003-005,law,SOURCE,verified,0.95,"Per Ataqua, the MPRDA does not apply to any tailings dumps established prior to 1 May 2004, and processing of such dumps does not require a mining right or permit under the MPRDA.",file:///C:/Users/mtlb/code/sea2/corpora/au-token-regulatory/cdh-ataqua-revisited-2024.html,"in terms of Ataqua, the MPRDA does not apply to any tailings dumps established prior to 1 May 2004 and any processing of such dumps does not require a mining right or permit under the MPRDA.",
,f-AUQ005-010,regulatory,SOURCE,verified,0.97,All TC and LC analyses under GN R635 must be conducted by SANAS-accredited laboratories.,https://cbss.co.za/revise-the-south-african-waste-classification-system/,All TC and LC analyses must be conducted by SANAS-accredited laboratories.,
,f-AUQ008-001,regulatory,SOURCE,flagged,0.9,"Under Austrian law, a prospectus must be published at least one banking day before a public offering of security tokens, unless an exemption applies.",https://cms.law/en/int/expert-guides/cms-expert-guide-to-security-token-offerings/austria,"A prospectus must be published at least one banking day before public offering of security tokens, unless an exemption applies.",
,f-AUQ007-014,mining-valuation,SOURCE,flagged,0.94,"Measured Resources support Proved Reserves at Feasibility Study level, where DCF is the primary valuation tool.",https://scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532020001000004,"Measured Resources support Proved Reserves at Feasibility Study level, where DCF is the primary valuation tool.",
,f-AUQ005-013,regulatory,SOURCE,flagged,0.97,"Residues that leave the mining footprint for off-site landfill disposal, including process residues from cyanide-leach retreatment plants reprocessing pre-2004 tailings, revert to assessment under GN R634/R635/R636.",https://cbss.co.za/revise-the-south-african-waste-classification-system/,"residues that leave the mining footprint for off-site landfill disposal (for example, processed reside drums, contaminated soils, or process residues from cyanide-leach retreatment plants reprocessing pre-2004 tailings) revert to assessment under GN R634/R635/R636",
,f-AUQ005-022,regulatory,SOURCE,flagged,0.95,"The leach test (deionised-water shake under GN R635, or TCLP/SPLP in jurisdictions that adopt US methods) determines whether retreatment residue is Type 1 (Class A hazardous), Type 3 (Class C) or Type 4 (Class D general).",https://www.cnfreereagent.com/news/cyanide-tailings-discharge-standards-gold-cyanidation-plants/,"the leach test (deionised-water shake under GN R635, or TCLP/SPLP in jurisdictions that adopt the US methods) determining whether the residue is Type 1 (Class A hazardous), Type 3 (Class C) or Type 4 (Class D general)",
,f-AUQ004-005,law,SOURCE,flagged,0.9,"The Beech Veltman commentary states that the webpage does not address acquisitions occurring before the Bill's commencement, only the post-enactment two-year window for regularisation.",https://beechveltman.com/news/draft-mineral-resources-development-amendment-bill-published-on-20-may-2025/,"The webpage does not address acquisitions occurring before the Bill's commencement, only the post-enactment two-year window for regularisation.",
,f-AUQ005-020,mining,SOURCE,verified,0.94,"Cyanide-leach retreatment of pre-2004 gold tailings typically generates a re-deposited residue with WAD cyanide well below 50 mg/L after destruction by SO2/air, H2O2 or Caro's acid.",https://www.cnfreereagent.com/news/cyanide-tailings-discharge-standards-gold-cyanidation-plants/,"cyanide-leach retreatment of pre-2004 gold tailings (such as the Witwatersrand reclamation projects) typically generates a re-deposited residue with WAD cyanide well below 50 mg/L after destruction (SO2/air, H2O2 or caro's acid)",
,f-AUQ004-007,law,SOURCE,flagged,0.9,The Bishop Fraser commentary states that its webpage content does not contain further information regarding tailings SPV acquisitions predating the Bill or specifics beyond the basic two-year regularisation framework and State reversion mechanism.,https://bishopfraser.co.za/incoming-mineral-law-developments-in-south-africa-the-2025-mineral-resources-development-bill/,The webpage content does not contain further information regarding tailings SPV acquisitions predating the Bill or specifics beyond the basic two-year regularisation framework and State reversion mechanism outlined above.,
